import time: self [us] | cumulative | imported package
import time:       162 |       1115 |                           polars.meta
import time:      9675 |      18799 |                         polars.expr.expr
import time:       453 |        453 |                         polars.expr.whenthen
import time:       135 |      19387 |                       polars.expr
import time:      2657 |      22043 |                     polars.selectors
import time:      8808 |      35784 |                   polars.lazyframe.frame
import time:       135 |      36132 |                 polars.lazyframe
import time:        15 |      36147 |               polars.lazyframe.opt_flags
import time:      2396 |      39075 |             polars.functions.lazy
import time:       157 |        157 |             polars.functions.len
import time:       641 |        641 |             polars.functions.lit
import time:       136 |        136 |             polars.functions.random
import time:       144 |        144 |                 polars.functions.range._utils
import time:       462 |        605 |               polars.functions.range.date_range
import time:       487 |        487 |               polars.functions.range.datetime_range
import time:       557 |        557 |               polars.functions.range.int_range
import time:       449 |        449 |               polars.functions.range.linear_space
import time:       508 |        508 |               polars.functions.range.time_range
import time:       190 |       2794 |             polars.functions.range
import time:       565 |        565 |             polars.functions.repeat
import time:       218 |        218 |             polars.functions.whenthen
import time:       437 |      82125 |           polars.functions
import time:       546 |        546 |               polars._utils.construction.utils
import time:      4419 |       4965 |             polars._utils.construction.dataframe
import time:       281 |        281 |             polars._utils.construction.other
import time:      1577 |       1577 |             polars._utils.construction.series
import time:       173 |       6994 |           polars._utils.construction
import time:      1436 |       1436 |           polars._utils.getitem
import time:       258 |        258 |           polars._utils.pycapsule
import time:       557 |        557 |             textwrap
import time:       746 |       1303 |           polars.dataframe._html
import time:      1260 |       1260 |           polars.dataframe.group_by
import time:       513 |        513 |           polars.dataframe.plotting
import time:     17150 |     113668 |         polars.dataframe.frame
import time:       115 |     113783 |       polars.dataframe
import time:       257 |        257 |       polars.datatype_expr
import time:       306 |        306 |           polars.datatypes._utils
import time:       618 |        618 |             polars.series.utils
import time:       800 |       1418 |           polars.series.array
import time:       360 |        360 |           polars.series.binary
import time:       430 |        430 |           polars.series.categorical
import time:      1524 |       1524 |           polars.series.datetime
import time:      1206 |       1206 |           polars.series.list
import time:       508 |        508 |           polars.series.plotting
import time:      1622 |       1622 |           polars.series.string
import time:       463 |        463 |           polars.series.struct
import time:     11719 |      19552 |         polars.series.series
import time:       114 |      19665 |       polars.series
import time:       159 |     133863 |     polars._reexport
import time:       608 |     134470 |   polars.api
import time:       408 |        408 |   polars.plugins
import time:        86 |         86 |     polars.catalog
import time:       313 |        313 |         dataclasses
import time:      1596 |       1908 |       polars.catalog.unity.models
import time:      1280 |       3188 |     polars.catalog.unity.client
import time:       168 |       3442 |   polars.catalog.unity
import time:      2403 |       2403 |   polars.config
import time:      1708 |       1708 |     polars.convert.general
import time:        33 |         33 |             _json
import time:       207 |        239 |           json.scanner
import time:       250 |        489 |         json.decoder
import time:       231 |        231 |         json.encoder
import time:       138 |        858 |       json
import time:       534 |       1391 |     polars.convert.normalize
import time:       142 |       3240 |   polars.convert
import time:       183 |        183 |         glob
import time:       977 |       1159 |       polars.io._utils
import time:       238 |       1396 |     polars.io.avro
import time:       226 |        226 |             polars.io.csv._utils
import time:       595 |        821 |           polars.io.csv.batched_reader
import time:        42 |         42 |                             _locale
import time:       413 |        454 |                           locale
import time:       326 |        326 |                           signal
import time:        31 |         31 |                           fcntl
import time:        47 |         47 |                           msvcrt
import time:        17 |         17 |                           _posixsubprocess
import time:        27 |         27 |                           select
import time:       369 |        369 |                           selectors
import time:       339 |       1608 |                         subprocess
import time:       139 |        139 |                         polars._utils.logging
import time:      1405 |       3150 |                       polars.io.cloud.credential_provider._providers
import time:       141 |       3291 |                     polars.io.cloud.credential_provider
import time:        15 |       3306 |                   polars.io.cloud.credential_provider._providers
import time:       125 |       3430 |                 polars.io.cloud
import time:        11 |       3440 |               polars.io.cloud.credential_provider
import time:       956 |       4396 |             polars.io.cloud.credential_provider._builder
import time:      2638 |       7033 |           polars.io.csv.functions
import time:       123 |       7977 |         polars.io.csv
import time:        15 |       7991 |       polars.io.csv.functions
import time:       173 |       8163 |     polars.io.clipboard
import time:       386 |        386 |           polars.io.database._utils
import time:       652 |       1038 |         polars.io.database._cursor_proxies
import time:       272 |        272 |           polars.io.database._arrow_registry
import time:       955 |        955 |           polars.io.database._inference
import time:      1991 |       3216 |         polars.io.database._executor
import time:       650 |       4903 |       polars.io.database.functions
import time:       113 |       5016 |     polars.io.database
import time:       416 |        416 |         polars.io.parquet.field_overwrites
import time:       286 |        286 |               polars.io.scan_options.cast_options
import time:       115 |        401 |             polars.io.scan_options
import time:       642 |       1042 |           polars.io.scan_options._options
import time:      1064 |       2106 |         polars.io.parquet.functions
import time:       140 |       2661 |       polars.io.parquet
import time:       253 |        253 |             polars.io.pyarrow_dataset.anonymous_scan
import time:       206 |        458 |           polars.io.pyarrow_dataset.functions
import time:       109 |        566 |         polars.io.pyarrow_dataset
